51 703
London 51.507351 -0.127758
Jerusalem 31.766666666666666 35.233333
Kabul 34.516666666666666 69.183333
Sofia 42.68333333333333 23.316667
Riyadh 24.65 46.7
Brasilia -15.78333333 -47.916667
Ottawa 45.41666667 -75.7
Santiago -33.45 -70.666667
San-Jose 9.933333333 -84.083333
Yamoussoukro 6.816666667 -5.266667
Havana 23.11666667 -82.35
Copenhagen 55.66666667 12.583333
Cairo 30.05 31.25
Paris 48.86666667 2.349
Berlin 52.51666667 13.4
Athens 37.98333333 23.733333
Tehran 35.7 51.416667
Baghdad 33.3333334 44.4
Rome 41.9 12.493333
Kingston 18 -76.8
Cape-Town -33.918861 18.423300
Nairobi -1.283333333 36.816667
Kuwait-City 29.36666667 47.966667
Tripoli 32.88333333 13.166667
Antananarivo -18.91666667 47.516667
Bamako 12.65 -8
Dublin 53.31666667 -6.233333
Mexico-City 19.43333333 -99.133333
Islamabad 33.68333333 73.05
Lima -12.05 -77.05
Warsaw 52.25 21
Doha 25.28333333 51.533333
Moscow 55.75 37.6
Singapore 1.283333333 103.85
Canberra -35.282001 149.128998
Madrid 40.416775 -3.70379
Bangkok 13.75 100.516667
Tunis 36.8 10.183333
Ankara 39.93333333 32.866667
Caracas 10.48333333 -66.866667
Hanoi 21.03333333 105.85
Sanaa 15.35 44.2
Abu-Dhabi 24.46666667 54.366667
Bern 46.91666667 7.466667
Khartoum 15.6 32.533333
Beijing 39.916668 116.383331
Accra 5.55 -0.216667
Buenos-Aires -34.58333333 -58.666667
Yaounde 3.866666667 11.516667
N-Djamena 12.1 15.033333
Hebron 20.0 50.0

















